Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
The effect of cushioning materials on musculoskeletal discomfort and fatigue during prolonged standing at work: A systematic review.,/pubmed/29866322,"Speed G, Harris K, Keegel T.",Appl Ergon. 2018 Jul;70:300-314. doi: 10.1016/j.apergo.2018.02.021. Epub 2018 Mar 30. Review.,Appl Ergon.  2018,PubMed,citation,PMID:29866322,pubmed,29866322,create date:2018/06/06 | first author:Speed G
Fatigue independently predicts different work disability dimensions in etanercept-treated rheumatoid arthritis and ankylosing spondylitis patients.,/pubmed/29843776,"Druce KL, Aikman L, Dilleen M, Burden A, Szczypa P, Basu N.",Arthritis Res Ther. 2018 May 29;20(1):96. doi: 10.1186/s13075-018-1598-8.,Arthritis Res Ther.  2018,PubMed,citation,PMID:29843776 | PMCID:PMC5972438,pubmed,29843776,create date:2018/05/31 | first author:Druce KL
The effect of self-assessed fatigue and subjective cognitive impairment on work capacity: The case of multiple sclerosis.,/pubmed/29663869,"Kobelt G, Langdon D, Jönsson L.",Mult Scler. 2018 Apr 1:1352458518769837. doi: 10.1177/1352458518769837. [Epub ahead of print],Mult Scler.  2018,PubMed,citation,PMID:29663869,pubmed,29663869,create date:2018/04/18 | first author:Kobelt G
Approaching Fatigue and Error in Emergency Medicine: Narrowing the Gap Between Work as Imagined and Work as Really Done.,/pubmed/29628191,"Kellogg KM, Fairbanks RJ.",Ann Emerg Med. 2018 Aug;72(2):181-183. doi: 10.1016/j.annemergmed.2018.02.030. Epub 2018 Apr 6. No abstract available. ,Ann Emerg Med.  2018,PubMed,citation,PMID:29628191,pubmed,29628191,create date:2018/04/10 | first author:Kellogg KM
"Is fatigue after work a barrier for leisure-time physical activity? Cross-sectional study among 10,000 adults from the general working population.",/pubmed/29609495,"Bláfoss R, Micheletti JK, Sundstrup E, Jakobsen MD, Bay H, Andersen LL.",Scand J Public Health. 2018 Apr 1:1403494818765894. doi: 10.1177/1403494818765894. [Epub ahead of print],Scand J Public Health.  2018,PubMed,citation,PMID:29609495,pubmed,29609495,create date:2018/04/04 | first author:Bláfoss R
Impact of a fatigue management in work programme on meeting work demands of individuals with rheumatic diseases: A pilot study.,/pubmed/29575485,"McCormack RC, O'Shea F, Doran M, Connolly D.",Musculoskeletal Care. 2018 Sep;16(3):398-404. doi: 10.1002/msc.1237. Epub 2018 Mar 25.,Musculoskeletal Care.  2018,PubMed,citation,PMID:29575485,pubmed,29575485,create date:2018/03/27 | first author:McCormack RC
Impact of SCBA size and fatigue from different firefighting work cycles on firefighter gait.,/pubmed/29569521,"Kesler RM, Bradley FF, Deetjen GS, Angelini MJ, Petrucci MN, Rosengren KS, Horn GP, Hsiao-Wecksler ET.",Ergonomics. 2018 Apr 4:1-8. doi: 10.1080/00140139.2018.1450999. [Epub ahead of print],Ergonomics.  2018,PubMed,citation,PMID:29569521,pubmed,29569521,create date:2018/03/24 | first author:Kesler RM
Caffeine increases both total work performed above critical power and peripheral fatigue during a 4-km cycling time trial.,/pubmed/29470151,"Felippe LC, Ferreira GA, Learsi SK, Boari D, Bertuzzi R, Lima-Silva AE.",J Appl Physiol (1985). 2018 Jun 1;124(6):1491-1501. doi: 10.1152/japplphysiol.00930.2017. Epub 2018 Feb 22.,J Appl Physiol (1985).  2018,PubMed,citation,PMID:29470151,pubmed,29470151,create date:2018/02/23 | first author:Felippe LC
What Contributions Did Kazimierz Karaffa-Korbutt Make to Occupational Health and Fatigue Prevention in Poland?,/pubmed/29406357,Zalnora A.,J Occup Environ Med. 2018 Apr;60(4):e210-e211. doi: 10.1097/JOM.0000000000001297. No abstract available. ,J Occup Environ Med.  2018,PubMed,citation,PMID:29406357,pubmed,29406357,create date:2018/02/07 | first author:Zalnora A
Reliability and Validity of Survey Instruments to Measure Work-Related Fatigue in the Emergency Medical Services Setting: A Systematic Review.,/pubmed/29324068,"Patterson PD, Weaver MD, Fabio A, Teasley EM, Renn ML, Curtis BR, Matthews ME, Kroemer AJ, Xun X, Bizhanova Z, Weiss PM, Sequeira DJ, Coppler PJ, Lang ES, Higgins JS.",Prehosp Emerg Care. 2018 Feb 15;22(sup1):17-27. doi: 10.1080/10903127.2017.1376134. Epub 2018 Jan 11.,Prehosp Emerg Care.  2018,PubMed,citation,PMID:29324068,pubmed,29324068,create date:2018/01/13 | first author:Patterson PD
Investigating real-time monitoring of fatigue indicators of New Zealand forestry workers.,/pubmed/29287742,"Bowen J, Hinze A, Griffiths C.",Accid Anal Prev. 2017 Dec 27. pii: S0001-4575(17)30448-7. doi: 10.1016/j.aap.2017.12.010. [Epub ahead of print],Accid Anal Prev.  2017,PubMed,citation,PMID:29287742,pubmed,29287742,create date:2017/12/31 | first author:Bowen J
Psychometric Properties of the Chinese Version of the Occupational Fatigue Exhaustion/Recovery Scale: A Test in a Nursing Population.,/pubmed/29286950,"Fang JB, Zhou CF, Huang J, Qiu CJ.",J Nurs Res. 2018 Jun;26(3):191-198. doi: 10.1097/jnr.0000000000000247.,J Nurs Res.  2018,PubMed,citation,PMID:29286950,pubmed,29286950,create date:2017/12/30 | first author:Fang JB
Fatigue and Mood States in Nursing Home and Nonambulatory Home-Based Patients with Multiple Sclerosis.,/pubmed/29270087,"Younus Z, Vaughn CB, Sanai SA, Kavak KS, Gupta S, Nadeem M, Teter BE, Noyes K, Zivadinov R, Edwards K, Coyle PK, Goodman A, Weinstock-Guttman B; New York State Multiple Sclerosis Consortium..",Int J MS Care. 2017 Nov-Dec;19(6):297-302. doi: 10.7224/1537-2073.2016-058.,Int J MS Care.  2017,PubMed,citation,PMID:29270087 | PMCID:PMC5734713,pubmed,29270087,create date:2017/12/23 | first author:Younus Z
Rasch Analysis of Lebanese Nurses' Responses to the Occupational Fatigue Exhaustion Recovery Scale.,/pubmed/29268829,"Clinton M, Tchaparian H.",J Nurs Meas. 2017 Dec 1;25(3):459-475. doi: 10.1891/1061-3749.25.3.459.,J Nurs Meas.  2017,PubMed,citation,PMID:29268829,pubmed,29268829,create date:2017/12/23 | first author:Clinton M
"Work stress, fatigue and risk behaviors at the wheel: Data to assess the association between psychosocial work factors and risky driving on Bus Rapid Transit drivers.",/pubmed/29214195,"Useche S, Cendales B, Gómez V.",Data Brief. 2017 Sep 25;15:335-339. doi: 10.1016/j.dib.2017.09.032. eCollection 2017 Dec.,Data Brief.  2017,PubMed,citation,PMID:29214195 | PMCID:PMC5712049,pubmed,29214195,create date:2017/12/08 | first author:Useche S
Less Traveled: How ATCEMS chose a new path to fight worker fatigue.,/pubmed/29188976,Escott MEA.,JEMS. 2016 Nov;41(11):63. No abstract available. ,JEMS.  2016,PubMed,citation,PMID:29188976,pubmed,29188976,create date:2017/12/01 | first author:Escott MEA
Fatigue Risk Management: The Impact of Anesthesiology Residents' Work Schedules on Job Performance and a Review of Potential Countermeasures.,/pubmed/29049076,"Wong LR, Flynn-Evans E, Ruskin KJ.",Anesth Analg. 2018 Apr;126(4):1340-1348. doi: 10.1213/ANE.0000000000002548.,Anesth Analg.  2018,PubMed,citation,PMID:29049076,pubmed,29049076,create date:2017/10/20 | first author:Wong LR
"Effects of footrest heights on muscle fatigue, kinematics, and kinetics during prolonged standing work.",/pubmed/28946538,"Son JI, Yi CH, Kwon OY, Cynn HS, Lim OB, Baek YJ, Jung YJ.",J Back Musculoskelet Rehabil. 2018;31(2):389-396. doi: 10.3233/BMR-170798.,J Back Musculoskelet Rehabil.  2018,PubMed,citation,PMID:28946538,pubmed,28946538,create date:2017/09/28 | first author:Son JI
Myoelectric manifestation of muscle fatigue in repetitive work detected by means of miniaturized sEMG sensors.,/pubmed/28942714,"Ranavolo A, Chini G, Silvetti A, Mari S, Serrao M, Draicchio F.",Int J Occup Saf Ergon. 2018 Sep;24(3):464-474. doi: 10.1080/10803548.2017.1357867. Epub 2017 Sep 25.,Int J Occup Saf Ergon.  2018,PubMed,citation,PMID:28942714,pubmed,28942714,create date:2017/09/26 | first author:Ranavolo A
Subjective measures of work-related fatigue in automobile factory employees.,/pubmed/28922184,"Guo F, Wang T, Ning Z.",Work. 2017;58(2):233-240. doi: 10.3233/WOR-172606.,Work.  2017,PubMed,citation,PMID:28922184,pubmed,28922184,create date:2017/09/19 | first author:Guo F
Diagnosing and treating Enquiry Based Learning fatigue in Graduate Entry Nursing students.,/pubmed/28918987,"Stacey G, Wilson C, Reddy H, Palmer C, Henderson J, Little H, Bull H.",Nurse Educ Pract. 2018 Jan;28:310-313. doi: 10.1016/j.nepr.2017.09.006. Epub 2017 Sep 9.,Nurse Educ Pract.  2018,PubMed,citation,PMID:28918987,pubmed,28918987,create date:2017/09/19 | first author:Stacey G
"Addressing Occupational Fatigue in Nurses: Current State of Fatigue Risk Management in Hospitals, Part 2.",/pubmed/28858957,"Steege LM, Pinekenstein BJ, Rainbow JG, Arsenault Knudsen É.",J Nurs Adm. 2017 Oct;47(10):484-490. doi: 10.1097/NNA.0000000000000519.,J Nurs Adm.  2017,PubMed,citation,PMID:28858957,pubmed,28858957,create date:2017/09/01 | first author:Steege LM
"Effects of an Intervention to Reduce Sitting at Work on Arousal, Fatigue, and Mood Among Sedentary Female Employees: A Parallel-Group Randomized Trial.",/pubmed/28816735,"Mailey EL, Rosenkranz SK, Ablah E, Swank A, Casey K.",J Occup Environ Med. 2017 Dec;59(12):1166-1171. doi: 10.1097/JOM.0000000000001131.,J Occup Environ Med.  2017,PubMed,citation,PMID:28816735,pubmed,28816735,create date:2017/08/18 | first author:Mailey EL
"A survey of the prevalence of fatigue, its precursors and individual coping mechanisms among U.S. manufacturing workers.",/pubmed/28802433,"Lu L, Megahed FM, Sesek RF, Cavuoto LA.",Appl Ergon. 2017 Nov;65:139-151. doi: 10.1016/j.apergo.2017.06.004. Epub 2017 Jun 20.,Appl Ergon.  2017,PubMed,citation,PMID:28802433,pubmed,28802433,create date:2017/08/15 | first author:Lu L
"Addressing Occupational Fatigue in Nurses: Current State of Fatigue Risk Management in Hospitals, Part 1.",/pubmed/28796024,"Steege LM, Pinekenstein BJ, Rainbow JG, Arsenault Knudsen É.",J Nurs Adm. 2017 Sep;47(9):426-433. doi: 10.1097/NNA.0000000000000509.,J Nurs Adm.  2017,PubMed,citation,PMID:28796024,pubmed,28796024,create date:2017/08/11 | first author:Steege LM
"High fatigue and its associations with health and work related factors among female medical personnel at 54 hospitals in Zhuhai, China.",/pubmed/28778141,"Cai S, Lin H, Hu X, Cai YX, Chen K, Cai WZ.",Psychol Health Med. 2018 Mar;23(3):304-316. doi: 10.1080/13548506.2017.1361038. Epub 2017 Aug 4.,Psychol Health Med.  2018,PubMed,citation,PMID:28778141,pubmed,28778141,create date:2017/08/06 | first author:Cai S
Occupational therapists' experience of workplace fatigue: Issues and action.,/pubmed/28777761,"Brown CA, Schell J, Pashniak LM.",Work. 2017;57(4):517-527. doi: 10.3233/WOR-172576. Review.,Work.  2017,PubMed,citation,PMID:28777761,pubmed,28777761,create date:2017/08/05 | first author:Brown CA
The impact of fatigue and energy on work functioning and impairment in patients with major depressive disorder treated with desvenlafaxine.,/pubmed/28763344,"Sarfati D, Evans VC, Tam EM, Woo C, Iverson GL, Yatham LN, Lam RW.",Int Clin Psychopharmacol. 2017 Nov;32(6):343-349. doi: 10.1097/YIC.0000000000000192.,Int Clin Psychopharmacol.  2017,PubMed,citation,PMID:28763344,pubmed,28763344,create date:2017/08/02 | first author:Sarfati D
Fatigue in Residency Education: Understanding the Influence of Work Hours Regulations in Europe.,/pubmed/28746075,"Taylor TS, Teunissen PW, Dornan T, Lingard L.",Acad Med. 2017 Dec;92(12):1733-1739. doi: 10.1097/ACM.0000000000001831.,Acad Med.  2017,PubMed,citation,PMID:28746075,pubmed,28746075,create date:2017/07/27 | first author:Taylor TS
A Case of Strongyloidiasis: An Immigrant Healthcare Worker Presenting with Fatigue and Weight Loss.,/pubmed/28744381,"Grewal T, Azizi H, Kahn A, Shakir Z, Takkouche S, Aung KN, Lois W, Hasan M.",Case Rep Infect Dis. 2017;2017:6718284. doi: 10.1155/2017/6718284. Epub 2017 Jun 28.,Case Rep Infect Dis.  2017,PubMed,citation,PMID:28744381 | PMCID:PMC5506470,pubmed,28744381,create date:2017/07/27 | first author:Grewal T
"How does emotional exhaustion influence work stress? Relationships between stressor appraisals, hedonic tone, and fatigue in nurses' daily tasks: A longitudinal cohort study.",/pubmed/28727992,"Fernández-Castro J, Martínez-Zaragoza F, Rovira T, Edo S, Solanes-Puchol Á, Martín-Del-Río B, García-Sierra R, Benavides-Gil G, Doval E.",Int J Nurs Stud. 2017 Oct;75:43-50. doi: 10.1016/j.ijnurstu.2017.07.002. Epub 2017 Jul 5.,Int J Nurs Stud.  2017,PubMed,citation,PMID:28727992,pubmed,28727992,create date:2017/07/21 | first author:Fernández-Castro J
"Psychosocial factors, musculoskeletal disorders and work-related fatigue amongst nurses in Brunei: structural equation model approach.",/pubmed/28629716,"Abdul Rahman H, Abdul-Mumin K, Naing L.",Int Emerg Nurs. 2017 Sep;34:17-22. doi: 10.1016/j.ienj.2017.04.001. Epub 2017 Jun 17.,Int Emerg Nurs.  2017,PubMed,citation,PMID:28629716,pubmed,28629716,create date:2017/06/21 | first author:Abdul Rahman H
Fatigue-free operation of most body-powered prostheses not feasible for majority of users with trans-radial deficiency.,/pubmed/28621577,"Hichert M, Vardy AN, Plettenburg D.",Prosthet Orthot Int. 2018 Feb;42(1):84-92. doi: 10.1177/0309364617708651. Epub 2017 Jun 16.,Prosthet Orthot Int.  2018,PubMed,citation,PMID:28621577 | PMCID:PMC5808823,pubmed,28621577,create date:2017/06/18 | first author:Hichert M
Acute fatigue predicts sickness absence in the workplace: A 1-year retrospective cohort study in paediatric nurses.,/pubmed/28586543,"Sagherian K, Unick GJ, Zhu S, Derickson D, Hinds PS, Geiger-Brown J.",J Adv Nurs. 2017 Dec;73(12):2933-2941. doi: 10.1111/jan.13357. Epub 2017 Jul 5.,J Adv Nurs.  2017,PubMed,citation,PMID:28586543,pubmed,28586543,create date:2017/06/07 | first author:Sagherian K
"The impact of work-related and personal resources on older workers' fatigue, work enjoyment and retirement intentions over time.",/pubmed/28532293,"Stynen D, Jansen NWH, Kant I.",Ergonomics. 2017 Dec;60(12):1692-1707. doi: 10.1080/00140139.2017.1334094. Epub 2017 Jun 28.,Ergonomics.  2017,PubMed,citation,PMID:28532293,pubmed,28532293,create date:2017/05/24 | first author:Stynen D
Exercise-induced quadriceps muscle fatigue in men and women: effects of arterial oxygen content and respiratory muscle work.,/pubmed/28524229,"Dominelli PB, Molgat-Seon Y, Griesdale DEG, Peters CM, Blouin JS, Sekhon M, Dominelli GS, Henderson WR, Foster GE, Romer LM, Koehle MS, Sheel AW.",J Physiol. 2017 Aug 1;595(15):5227-5244. doi: 10.1113/JP274068. Epub 2017 Jun 19.,J Physiol.  2017,PubMed,citation,PMID:28524229 | PMCID:PMC5538269,pubmed,28524229,create date:2017/05/20 | first author:Dominelli PB
"Stress-related psychosocial factors at work, fatigue, and risky driving behavior in bus rapid transport (BRT) drivers.",/pubmed/28494258,"Useche SA, Ortiz VG, Cendales BE.",Accid Anal Prev. 2017 Jul;104:106-114. doi: 10.1016/j.aap.2017.04.023. Epub 2017 May 8.,Accid Anal Prev.  2017,PubMed,citation,PMID:28494258,pubmed,28494258,create date:2017/05/12 | first author:Useche SA
"Portuguese version of the Swedish Occupational Fatigue Inventory (SOFI) among assembly workers: Cultural adaptation, reliability and validity.",/pubmed/28481374,"Santos J, Carvalhais C, Ramos C, Coelho T, Monteiro PRR, Vaz MAP.",Int J Occup Med Environ Health. 2017 May 8;30(3):407-417. doi: 10.13075/ijomeh.1896.00760. Epub 2017 Mar 27.,Int J Occup Med Environ Health.  2017,PubMed,citation,PMID:28481374,pubmed,28481374,create date:2017/05/10 | first author:Santos J
"Effects of workload, work complexity, and repeated alerts on alert fatigue in a clinical decision support system.",/pubmed/28395667,"Ancker JS, Edwards A, Nosal S, Hauser D, Mauer E, Kaushal R; with the HITEC Investigators..",BMC Med Inform Decis Mak. 2017 Apr 10;17(1):36. doi: 10.1186/s12911-017-0430-8.,BMC Med Inform Decis Mak.  2017,PubMed,citation,PMID:28395667 | PMCID:PMC5387195,pubmed,28395667,create date:2017/04/12 | first author:Ancker JS
"Psychosocial Work Stressors, Work Fatigue, and Musculoskeletal Disorders: Comparison between Emergency and Critical Care Nurses in Brunei Public Hospitals.",/pubmed/28388975,"Abdul Rahman H, Abdul-Mumin K, Naing L.",Asian Nurs Res (Korean Soc Nurs Sci). 2017 Mar;11(1):13-18. doi: 10.1016/j.anr.2017.01.003. Epub 2017 Feb 11.,Asian Nurs Res (Korean Soc Nurs Sci).  2017,PubMed,citation,PMID:28388975,pubmed,28388975,create date:2017/04/09 | first author:Abdul Rahman H
Exercise to reduce work-related fatigue among employees: a randomized controlled trial.,/pubmed/28323305,"de Vries JD, van Hooff ML, Guerts SA, Kompier MA.",Scand J Work Environ Health. 2017 Jul 1;43(4):337-349. doi: 10.5271/sjweh.3634. Epub 2017 Mar 21.,Scand J Work Environ Health.  2017,PubMed,citation,PMID:28323305,pubmed,28323305,create date:2017/03/23 | first author:de Vries JD
A data-driven approach to modeling physical fatigue in the workplace using wearable sensors.,/pubmed/28259238,"Sedighi Maman Z, Alamdar Yazdi MA, Cavuoto LA, Megahed FM.",Appl Ergon. 2017 Nov;65:515-529. doi: 10.1016/j.apergo.2017.02.001. Epub 2017 Mar 1.,Appl Ergon.  2017,PubMed,citation,PMID:28259238,pubmed,28259238,create date:2017/03/06 | first author:Sedighi Maman Z
Exploring nurse leader fatigue: a mixed methods study.,/pubmed/28244184,"Steege LM, Pinekenstein BJ, Arsenault Knudsen É, Rainbow JG.",J Nurs Manag. 2017 May;25(4):276-286. doi: 10.1111/jonm.12464. Epub 2017 Feb 27.,J Nurs Manag.  2017,PubMed,citation,PMID:28244184,pubmed,28244184,create date:2017/03/01 | first author:Steege LM
Fatigue contributes to work productivity impairment in patients with axial spondyloarthritis: a cross-sectional UK study.,/pubmed/28240589,"Espahbodi S, Bassett P, Cavill C, Freeth M, Hole J, Sengupta R.",Clin Exp Rheumatol. 2017 Jul-Aug;35(4):571-578. Epub 2017 Feb 24.,Clin Exp Rheumatol.  2017,PubMed,citation,PMID:28240589,pubmed,28240589,create date:2017/02/28 | first author:Espahbodi S
"The yield of diagnostic work-up of patients presenting with myalgia, exercise intolerance, or fatigue: A prospective observational study.",/pubmed/28082206,"Te Riele MG, Schreuder TH, van Alfen N, Bergman M, Pillen S, Smits BW, van der Wilt GJ, Groenewoud H, Voermans NC, van Engelen BG.",Neuromuscul Disord. 2017 Mar;27(3):243-250. doi: 10.1016/j.nmd.2016.12.002. Epub 2016 Dec 15.,Neuromuscul Disord.  2017,PubMed,citation,PMID:28082206,pubmed,28082206,create date:2017/01/14 | first author:Te Riele MG
A work systems analysis approach to understanding fatigue in hospital nurses.,/pubmed/28064733,"Steege LM, Pasupathy KS, Drake DA.",Ergonomics. 2018 Jan;61(1):148-161. doi: 10.1080/00140139.2017.1280186. Epub 2017 Jan 23.,Ergonomics.  2018,PubMed,citation,PMID:28064733,pubmed,28064733,create date:2017/01/10 | first author:Steege LM
Resistance training program for fatigue management in the workplace: exercise protocol in a cluster randomized controlled trial.,/pubmed/28003034,"Santos HG, Chiavegato LD, Valentim DP, da Silva PR, Padula RS.",BMC Public Health. 2016 Dec 22;16(1):1218. doi: 10.1186/s12889-016-3872-5.,BMC Public Health.  2016,PubMed,citation,PMID:28003034 | PMCID:PMC5178090,pubmed,28003034,create date:2016/12/23 | first author:Santos HG
Exploring the potential role of the advanced nurse practitioner within a care path for patients with chronic fatigue syndrome.,/pubmed/28000331,"Ryckeghem H, Delesie L, Tobback E, Lievens S, Vogelaers D, Mariman A.",J Adv Nurs. 2017 Jul;73(7):1610-1619. doi: 10.1111/jan.13244. Epub 2017 Jan 18.,J Adv Nurs.  2017,PubMed,citation,PMID:28000331,pubmed,28000331,create date:2016/12/22 | first author:Ryckeghem H
Nurse Fatigue.,/pubmed/27875425,Davis LK.,Am J Nurs. 2016 Dec;116(12):13. No abstract available. ,Am J Nurs.  2016,PubMed,citation,PMID:27875425,pubmed,27875425,create date:2016/11/23 | first author:Davis LK
"Fatigue, Work Schedules, and Perceived Performance in Bedside Care Nurses.",/pubmed/27872407,"Sagherian K, Clinton ME, Abu-Saad Huijer H, Geiger-Brown J.",Workplace Health Saf. 2017 Jul;65(7):304-312. doi: 10.1177/2165079916665398. Epub 2016 Nov 23.,Workplace Health Saf.  2017,PubMed,citation,PMID:27872407,pubmed,27872407,create date:2016/11/23 | first author:Sagherian K
Work-related self-assessed fatigue and recovery among nurses.,/pubmed/27838889,"Blasche G, Bauböck VM, Haluza D.",Int Arch Occup Environ Health. 2017 Feb;90(2):197-205. doi: 10.1007/s00420-016-1187-6. Epub 2016 Nov 12.,Int Arch Occup Environ Health.  2017,PubMed,citation,PMID:27838889,pubmed,27838889,create date:2016/11/14 | first author:Blasche G
Strength Training Improves Fatigue Resistance and Self-Rated Health in Workers with Chronic Pain: A Randomized Controlled Trial.,/pubmed/27830144,"Sundstrup E, Jakobsen MD, Brandt M, Jay K, Aagaard P, Andersen LL.",Biomed Res Int. 2016;2016:4137918. Epub 2016 Oct 17.,Biomed Res Int.  2016,PubMed,citation,PMID:27830144 | PMCID:PMC5086514,pubmed,27830144,create date:2016/11/11 | first author:Sundstrup E
Effects of Rest-Break Intention on Rest-Break Frequency and Work-Related Fatigue.,/pubmed/27760865,"Blasche G, Pasalic S, Bauböck VM, Haluza D, Schoberberger R.",Hum Factors. 2017 Mar;59(2):289-298. doi: 10.1177/0018720816671605. Epub 2016 Oct 20.,Hum Factors.  2017,PubMed,citation,PMID:27760865,pubmed,27760865,create date:2016/10/21 | first author:Blasche G
Causes and Consequences of Occupational Fatigue: Meta-Analysis and Systems Model.,/pubmed/27525527,"Techera U, Hallowell M, Stambaugh N, Littlejohn R.",J Occup Environ Med. 2016 Oct;58(10):961-973.,J Occup Environ Med.  2016,PubMed,citation,PMID:27525527,pubmed,27525527,create date:2016/10/19 | first author:Techera U
Responsive upper limb and cognitive fatigue measures during light precision work: an 8-hour simulated micro-pipetting study.,/pubmed/27684480,"Yung M, Wells RP.",Ergonomics. 2017 Jul;60(7):940-956. doi: 10.1080/00140139.2016.1242782. Epub 2016 Oct 14.,Ergonomics.  2017,PubMed,citation,PMID:27684480,pubmed,27684480,create date:2016/09/30 | first author:Yung M
Discriminating Between Fatigue and Sleepiness in the Naval Operational Environment.,/pubmed/27662510,"Matsangas P, Shattuck NL.",Behav Sleep Med. 2018 Sep-Oct;16(5):427-436. doi: 10.1080/15402002.2016.1228645. Epub 2016 Sep 23.,Behav Sleep Med.  2018,PubMed,citation,PMID:27662510,pubmed,27662510,create date:2016/09/24 | first author:Matsangas P
Who Is Responsible for Mitigating Work Fatigue of Critical Care Clinicians-the Individual or the System?,/pubmed/27627474,"Amaral AC, Taneva S, Morita PP, Lane-Fall M.",Ann Am Thorac Soc. 2016 Sep;13(9):1453-5. doi: 10.1513/AnnalsATS.201606-517ED. No abstract available. ,Ann Am Thorac Soc.  2016,PubMed,citation,PMID:27627474,pubmed,27627474,create date:2016/09/15 | first author:Amaral AC
